State  Internet College
AL 35.5 20.4
AK 55.6 28.1
AZ 42.5 24.6
AR 26.5 18.4
CA 46.7 27.5
CO 51.8 34.6
CT 51.2 31.6
DE 50.7 24.0
FL 43.2 22.8
GA 38.3 23.1
HI 43.0 26.3
ID 42.3 20.0
IL 40.1 27.1
IN 39.4 17.1
IA 39.0 25.5
KS 43.9 27.3
KY 36.6 20.5
LA 30.2 22.5
ME 42.6 24.1
MD 43.8 32.3
MA 45.5 32.7
MI 42.1 23.0
MN 43.0 31.2
MS 26.3 18.7
MO 42.5 26.2
MT 40.6 23.8
NE 37.0 24.6
NV 41.0 19.3
NH 56.0 30.1
NJ 47.8 30.1
NM 35.7 23.6
NY 39.8 28.7
NC 35.3 23.2
ND 37.7 22.6
OH 40.7 24.6
OK 34.3 22.5
OR 50.8 27.2
PA 40.1 24.3
RI 38.8 26.4
SC 32.0 19.0
SD 37.9 25.7
TN 36.3 22.0
TX 38.3 23.9
UT 48.4 26.4
VT 46.7 28.8
VA 44.3 31.9
WA 49.7 28.6
WV 34.3 15.3
WI 40.6 23.8
WY 44.1 20.6
